"BURY ST EDMUNDS (BARTON LODGE)",,,,,,,,,,,,
Grid ref,TL884664,Long,0.759336,Lat,52.263486,,,,,,,
Station no,1392/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.23,2.33,0.94,1.40,1.48,3.28,1.60,2.28,2.26,2.41,,
February,3.23,0.91,1.09,2.22,1.96,0.89,2.12,3.49,0.17,1.37,,
March,3.50,2.79,0.54,2.37,1.34,0.62,1.68,0.71,1.97,1.38,,
April,3.70,1.44,2.30,0.35,0.39,0.96,0.37,1.39,1.99,0.68,,
May,2.19,1.05,1.70,2.14,2.02,0.88,1.03,1.95,0.21,0.59,,
June,1.38,1.74,3.94,2.02,2.64,3.39,1.48,4.39,1.49,2.99,,
July,2.29,0.89,3.32,3.10,0.09,1.72,3.00,2.99,3.04,3.71,,
August,3.69,2.98,1.92,3.86,3.22,4.48,2.80,2.53,0.61,4.03,,
September,3.38,2.24,1.48,1.58,1.75,1.79,4.47,2.93,0.12,2.86,,
October,0.64,2.38,2.43,1.75,4.17,1.75,1.76,1.86,1.84,4.87,,
November,3.65,3.85,1.41,3.66,0.74,0.68,1.75,1.49,2.07,3.14,,
December,1.60,2.05,0.76,2.33,1.55,2.28,2.07,3.16,3.70,3.17,,
Total,31.48,24.65,21.83,26.78,21.35,22.72,24.13,29.17,19.47,31.20,,
Calc annual,31.48,24.65,21.83,26.78,21.35,22.72,24.13,29.17,19.47,31.20,,
Difference,0.00,-0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,,
