"BINFIELD BILLINGBEAR LODGE",,,,,,,,,,,,
Grid ref,SU824718,Long,-0.815880,Lat,51.439212,,,,,,,
Station no,778/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,1.12,2.78,3.31,1.54,,,,,
February,,,,2.25,1.45,0.20,2.79,,,,,
March,,,,2.37,0.93,0.60,1.18,,,,,
April,,,,0.28,0.36,1.47,0.35,,,,,
May,,,,3.31,4.20,0.18,1.07,,,,,
June,,,,4.59,2.72,1.99,1.16,,,,,
July,,,,2.87,0.15,2.72,5.60,,,,,
August,,,,3.22,0.80,4.46,2.13,,,,,
September,,,,1.92,1.60,2.75,2.52,,,,,
October,,,,2.23,3.52,1.80,2.09,,,,,
November,,,1.08,4.27,1.63,0.45,2.44,,,,,
December,,,0.59,2.44,2.46,3.72,2.24,,,,,
Total,,,,30.87,22.60,23.65,25.11,,,,,
Calc annual,0.00,0.00,1.67,30.87,22.60,23.65,25.11,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,0.00,NaN,NaN,NaN,,
