"STONEHAVEN",,,,,,,,,,,,
Grid ref,NO873864,Long,-2.210506,Lat,56.968645,,,,,,,
Station no,5617,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.30,2.70,1.08,1.26,1.58,3.92,2.84,4.42,1.95,4.40,,
February,2.46,0.99,1.10,2.79,3.46,1.63,2.35,3.01,0.24,3.30,,
March,2.80,3.96,0.29,2.28,1.78,1.02,2.21,4.46,1.02,1.14,,
April,2.81,1.63,3.38,1.43,0.63,1.52,1.00,1.57,3.04,1.62,,
May,1.65,2.65,2.12,4.33,2.41,0.47,1.33,2.38,2.19,0.74,,
June,1.06,1.96,1.53,1.79,0.63,1.38,1.05,1.32,1.47,1.97,,
July,3.19,1.77,3.13,3.40,0.68,4.50,6.13,6.21,1.87,3.81,,
August,3.99,3.45,2.67,2.46,0.48,3.73,5.29,5.11,0.42,4.02,,
September,1.25,1.13,3.15,1.79,2.04,4.85,1.28,2.03,0.58,3.01,,
October,1.66,2.67,1.59,4.49,3.65,1.90,1.59,1.94,3.02,7.02,,
November,6.14,2.80,2.24,5.05,2.71,1.71,1.10,0.50,4.92,5.42,,
December,2.13,2.50,3.31,2.75,4.47,3.20,3.17,4.47,4.46,2.92,,
Total,33.44,28.21,25.59,33.82,24.52,29.83,29.34,37.42,25.18,39.37,,
Calc annual,33.44,28.21,25.59,33.82,24.52,29.83,29.34,37.42,25.18,39.37,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,,
