"PENTLAND HILLS (MORTON)",,,,,,,,,,,,
Grid ref,NT074632,Long,-3.480723,Lat,55.853074,,,,,,,
Station no,5127,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.39,3.83,1.07,3.85,2.64,1.90,5.41,2.77,1.17,2.85,,
February,3.40,0.72,1.36,2.24,1.99,2.23,3.46,2.16,1.10,3.21,,
March,4.27,1.75,0.63,2.52,1.63,2.22,2.76,1.31,1.41,1.41,,
April,3.55,1.94,3.45,1.56,1.04,0.65,1.60,1.87,2.33,1.74,,
May,3.26,1.73,2.58,5.28,3.12,1.67,1.96,3.04,1.66,1.48,,
June,1.77,3.06,1.37,2.38,1.50,2.78,2.31,2.99,2.36,1.26,,
July,3.07,2.88,5.05,2.58,2.21,5.07,4.57,5.60,3.41,2.72,,
August,5.61,3.55,2.58,6.81,1.77,6.51,5.14,4.38,0.88,4.05,,
September,2.08,2.56,3.07,4.16,2.50,3.94,2.25,4.83,0.77,1.99,,
October,0.97,2.64,1.91,7.43,2.17,2.68,3.49,2.02,3.18,4.15,,
November,6.19,3.32,5.55,5.18,1.17,1.19,2.25,1.67,6.79,3.83,,
December,4.54,3.65,2.83,5.05,6.27,4.84,5.19,5.72,4.18,4.58,,
Total,43.10,31.63,31.45,49.04,28.01,35.68,40.39,38.36,29.24,33.27,,
Calc annual,43.10,31.63,31.45,49.04,28.01,35.68,40.39,38.36,29.24,33.27,,
Difference,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
