"ST. IVES (BUSSOW MOOR RESERVOIR)",,,,,,,,,,,,
Grid ref,SW502392,Long,-5.501739,Lat,50.199986,,,,,,,
Station no,1874,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.45,4.72,1.19,2.94,6.48,6.10,3.50,5.98,6.33,5.07,,
February,5.48,1.66,1.60,4.91,4.56,0.93,5.90,6.48,0.38,4.86,,
March,4.78,3.98,1.24,4.47,2.00,1.80,5.33,4.48,5.01,2.88,,
April,2.62,3.97,2.97,0.68,1.62,0.63,0.87,1.32,3.43,2.60,,
May,3.54,2.38,4.06,3.90,4.74,1.37,2.70,3.14,2.17,1.79,,
June,0.53,0.86,2.21,3.58,3.94,2.75,1.98,4.44,1.30,3.70,,
July,1.05,1.76,4.37,3.04,0.14,4.38,3.34,3.86,2.14,7.59,,
August,5.51,4.12,2.07,2.43,0.70,3.82,4.70,6.06,2.10,5.89,,
September,5.28,3.91,3.76,4.97,2.01,6.50,3.34,7.22,0.07,6.06,,
October,2.41,4.92,3.05,2.99,4.48,2.54,3.43,3.59,5.16,9.07,,
November,5.85,5.66,2.27,9.02,3.07,2.40,2.99,2.68,8.57,6.88,,
December,5.00,3.28,1.70,4.41,6.53,7.91,4.99,6.31,10.22,5.21,,
Total,48.50,41.22,30.49,47.34,40.27,41.13,43.07,55.56,46.88,61.60,,
Calc annual,48.50,41.22,30.49,47.34,40.27,41.13,43.07,55.56,46.88,61.60,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,,
