"BURTLE (NORTH DRAIN P.S.)",,,,,,,,,,,,
Grid ref,ST399448,Long,-2.861548,Lat,51.199239,,,,,,,
Station no,2015/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,2.89,2.96,,
February,,,,,,,,,0.20,2.17,,
March,,,,,,,,,2.76,1.35,,
April,,,,,,,,,2.01,1.80,,
May,,,,,,,,,1.24,0.83,,
June,,,,,,,,,1.15,1.41,,
July,,,,,,,,,2.23,5.18,,
August,,,,,,,,,0.72,4.36,,
September,,,,,,,,,0.18,3.03,,
October,,,,,,,,,2.57,8.10,,
November,,,,,,,,,3.88,2.80,,
December,,,,,,,,,5.15,2.91,,
Total,,,,,,,,,24.98,36.90,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.98,36.90,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,-0.00,,
