"NEATH (BRYTEG)",,,,,,,,,,,,
Grid ref,SS743983,Long,-3.819067,Lat,51.669370,,,,,,,
Station no,4046,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,8.09,6.75,,,,,,,,,,
February,5.93,0.93,,,,,,,,,,
March,6.08,5.16,,,,,,,,,,
April,4.52,4.71,,,,,,,,,,
May,2.80,4.24,,,,,,,,,,
June,1.57,3.68,,,,,,,,,,
July,1.07,2.36,,,,,,,,,,
August,10.21,8.04,,,,,,,,,,
September,5.65,2.70,,,,,,,,,,
October,1.19,3.85,,,,,,,,,,
November,10.57,4.51,,,,,,,,,,
December,5.39,5.32,,,,,,,,,,
Total,63.07,52.25,,,,,,,,,,
Calc annual,63.07,52.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
