"BISHOP'S CASTLE (THE MOUNT)",,,,,,,,,,,,
Grid ref,SO324892,Long,-2.997164,Lat,52.496498,,,,,,,
Station no,2274,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.50,2.47,0.65,2.50,2.09,3.88,1.52,1.96,3.69,3.65,,
February,3.12,0.93,1.57,2.58,1.43,0.28,2.18,3.86,0.17,3.41,,
March,4.05,1.11,1.75,1.79,3.21,1.23,1.69,0.98,1.83,1.78,,
April,2.08,1.88,2.51,0.44,1.20,2.10,0.12,0.43,3.04,1.49,,
May,2.72,2.17,1.87,2.73,3.88,0.54,1.59,2.14,1.55,1.46,,
June,0.81,2.11,2.15,3.15,3.77,1.68,2.22,4.02,1.65,1.96,,
July,1.17,1.13,2.86,2.05,0.79,3.13,3.64,3.61,2.27,2.70,,
August,3.35,4.63,3.34,3.96,1.09,3.25,6.45,1.73,1.35,3.82,,
September,2.13,2.51,2.90,2.12,1.06,3.32,5.02,5.98,0.01,3.90,,
October,0.90,4.23,2.89,3.19,1.88,1.74,1.69,2.87,3.33,8.36,,
November,6.34,3.15,2.05,6.93,2.51,1.34,2.67,2.19,3.20,5.02,,
December,2.29,3.14,1.02,2.22,2.99,2.60,2.17,2.62,4.55,3.76,,
Total,31.46,29.46,25.56,33.66,25.90,25.09,30.96,32.39,26.64,41.31,,
Calc annual,31.46,29.46,25.56,33.66,25.90,25.09,30.96,32.39,26.64,41.31,,
Difference,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
