"RONKSLEY MOOR NO. 86",,,,,,,,,,,,
Grid ref,SK147951,Long,-1.780110,Lat,53.452457,,,,,,,
Station no,2707/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,8.70,7.50,2.46,5.60,4.63,9.31,5.05,7.78,5.49,10.41,,
February,9.92,4.64,3.90,6.14,3.70,1.95,4.91,10.31,0.91,4.42,,
March,7.87,3.57,4.21,3.54,4.52,2.89,5.22,4.50,3.21,2.47,,
April,3.61,4.16,3.52,0.91,2.56,3.73,0.80,2.26,5.75,3.75,,
May,3.92,3.20,3.46,5.09,6.25,1.96,1.85,4.17,2.07,2.48,,
June,1.66,3.85,5.10,3.56,4.62,5.25,1.98,6.10,3.01,2.21,,
July,3.95,4.43,7.51,7.69,1.25,9.46,6.62,6.92,5.88,9.73,,
August,6.84,3.48,5.74,8.00,1.12,11.11,8.55,4.50,0.90,5.90,,
September,3.55,7.66,2.94,6.62,2.45,5.18,11.85,6.00,0.27,5.40,,
October,1.08,7.39,3.07,7.45,5.00,4.50,7.68,5.47,5.50,8.57,,
November,12.78,5.13,4.58,9.35,3.14,4.07,3.52,1.88,8.50,8.20,,
December,10.72,5.89,2.86,10.15,9.87,8.47,7.02,5.90,10.25,7.78,,
Total,74.60,60.90,49.35,74.10,49.11,67.88,65.05,65.79,51.74,71.32,,
Calc annual,74.60,60.90,49.35,74.10,49.11,67.88,65.05,65.79,51.74,71.32,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
