"CATERHAM RESERVOIR",,,,,,,,,,,,
Grid ref,TQ333550,Long,-0.090214,Lat,51.278558,,,,,,,
Station no,79,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.20,2.74,1.43,1.62,3.70,4.68,2.52,3.14,3.47,2.90,,
February,6.81,1.04,1.84,2.66,2.02,0.62,4.24,2.20,0.10,2.31,,
March,3.92,3.98,0.51,2.84,1.64,1.02,1.60,1.88,2.23,1.93,,
April,3.52,1.55,2.93,0.41,0.36,1.51,0.09,1.05,2.36,0.91,,
May,2.57,1.36,2.07,3.39,4.74,0.31,1.83,2.36,0.69,1.61,,
June,1.71,1.78,1.84,5.23,2.06,3.50,1.50,5.02,1.53,1.63,,
July,2.38,0.93,4.07,3.96,0.25,4.78,2.65,1.69,0.95,3.55,,
August,5.12,2.90,2.21,3.60,1.56,3.18,2.52,3.11,1.22,2.87,,
September,3.00,3.28,3.50,2.59,3.13,3.04,3.14,5.99,0.18,3.64,,
October,1.23,3.61,4.67,2.81,4.58,1.40,2.09,3.45,3.20,6.90,,
November,6.34,4.17,1.79,6.16,1.24,1.09,2.83,1.58,3.50,5.78,,
December,3.44,2.46,0.87,2.03,2.77,4.20,2.79,3.12,5.42,3.59,,
Total,44.24,29.80,27.73,37.30,28.05,29.33,27.80,34.59,24.85,37.62,,
Calc annual,44.24,29.80,27.73,37.30,28.05,29.33,27.80,34.59,24.85,37.62,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
