"EDINBURGH WW (VICTORIA LODGE)",,,,,,,,,,,,
Grid ref,NT106229,Long,-3.416482,Lat,55.491688,,,,,,,
Station no,5073,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.62,5.03,1.85,4.37,2.98,2.83,5.88,4.85,2.87,4.14,,
February,4.34,1.41,1.79,3.47,2.02,1.94,4.60,4.33,1.37,5.96,,
March,3.69,2.70,0.83,3.01,2.59,2.04,2.67,1.52,3.54,2.18,,
April,4.17,3.58,4.04,0.98,1.58,0.76,1.97,1.95,5.03,5.39,,
May,2.66,2.55,3.74,6.51,3.61,2.10,2.18,3.53,3.17,3.17,,
June,1.88,3.16,3.06,3.19,1.94,2.85,1.92,3.50,2.94,2.57,,
July,3.58,2.80,7.49,3.80,2.04,4.09,3.75,4.90,5.30,2.94,,
August,6.55,4.03,3.24,5.02,2.40,7.81,4.13,4.48,1.39,4.52,,
September,4.27,2.67,4.85,5.89,4.15,3.80,2.45,4.69,1.30,3.29,,
October,0.66,6.24,3.53,8.14,3.38,3.52,3.61,3.18,6.69,3.52,,
November,10.83,4.34,5.81,8.75,2.71,1.71,2.12,1.35,9.87,8.56,,
December,8.31,4.58,3.51,4.85,5.40,6.84,4.94,5.02,6.36,5.98,,
Total,55.56,43.09,43.74,57.98,34.80,40.29,40.22,43.30,49.83,52.22,,
Calc annual,55.56,43.09,43.74,57.98,34.80,40.29,40.22,43.30,49.83,52.22,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
