"POOLE (HENRY HARBIN SCHOOL)",,,,,,,,,,,,
Grid ref,SZ012916,Long,-1.984364,Lat,50.724022,,,,,,,
Station no,1582/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.61,1.92,0.90,1.68,3.17,,2.97,4.28,3.77,3.55,,
February,6.29,0.60,1.35,2.97,1.94,,3.98,2.71,0.31,2.90,,
March,3.71,2.17,0.65,4.25,1.15,,2.51,1.65,3.48,1.73,,
April,3.49,1.60,2.25,0.10,0.46,,0.13,0.53,2.54,1.80,,
May,2.33,1.87,2.39,2.29,3.86,,1.78,2.26,1.05,1.95,,
June,0.38,1.24,1.98,2.42,2.45,,1.13,4.36,1.60,2.06,,
July,0.81,0.71,2.92,3.41,0.50,,2.63,1.76,2.79,3.95,,
August,3.93,4.24,1.75,2.95,0.71,,2.68,3.32,2.57,4.20,,
September,3.58,4.00,2.90,3.50,1.18,,2.91,4.46,0.21,6.53,,
October,1.18,4.17,3.67,2.97,5.39,,1.60,2.90,2.96,10.62,,
November,8.80,3.66,1.83,5.73,2.77,,4.66,2.59,4.08,5.93,,
December,3.22,2.95,0.91,3.01,5.29,,2.40,4.02,7.86,3.25,,
Total,41.33,29.13,23.50,35.28,28.87,,29.38,34.84,33.22,48.47,,
Calc annual,41.33,29.13,23.50,35.28,28.87,0.00,29.38,34.84,33.22,48.47,,
Difference,0.00,-0.00,0.00,0.00,0.00,NaN,0.00,0.00,-0.00,0.00,,
