"SAMPFORD SPINEY (BROOKS)",,,,,,,,,,,,
Grid ref,SX525709,Long,-4.082007,Lat,50.519250,,,,,,,
Station no,1650/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,6.34,5.95,6.78,7.81,9.61,,
February,,,,,,0.40,8.15,6.03,0.43,,,
March,,,,,,2.29,7.09,2.05,7.05,,,
April,,,,,,1.42,0.46,1.37,6.03,,,
May,,,,,,1.54,3.50,5.59,0.99,,,
June,,,,,,3.46,2.65,5.38,1.83,,,
July,,,,,,6.29,5.76,6.17,2.68,,,
August,,,,,,4.62,4.97,8.48,2.18,,,
September,,,,,,8.66,6.42,8.62,0.20,,,
October,,,,,,3.15,4.94,6.55,6.29,,,
November,,,,,,2.47,3.08,4.09,11.06,,,
December,,,,,,8.12,5.34,6.79,12.09,,,
Total,,,,,,48.76,58.31,67.90,58.64,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,48.76,58.31,67.90,58.64,9.61,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,NaN,,
