"PITLOCHRY (ALLT GIRNAIG)",,,,,,,,,,,,
Grid ref,NN924627,Long,-3.760843,Lat,56.743478,,,,,,,
Station no,5562/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.10,3.30,1.30,3.10,2.80,2.90,4.20,2.65,2.75,2.80,,
February,4.10,1.40,0.90,3.10,2.50,1.30,3.85,2.10,0.65,2.80,,
March,1.50,2.70,0.70,1.40,1.60,2.45,3.55,1.45,2.35,1.80,,
April,2.40,1.50,2.00,1.40,1.10,0.80,0.90,0.80,2.90,2.90,,
May,1.90,3.60,3.10,4.50,2.30,1.70,1.50,3.60,0.35,3.00,,
June,2.10,2.90,3.30,1.50,1.40,1.90,1.50,2.60,2.30,1.75,,
July,1.70,1.70,2.70,3.20,0.50,5.20,3.50,3.60,3.90,2.30,,
August,6.00,3.70,1.90,3.10,1.40,5.50,3.25,4.60,1.30,2.50,,
September,2.60,0.95,3.10,3.70,2.10,5.30,2.15,4.55,1.00,2.50,,
October,0.90,4.10,2.10,6.10,2.70,2.20,2.15,2.70,5.90,4.90,,
November,9.80,2.30,3.90,7.20,1.80,1.20,0.55,0.95,5.80,,,
December,3.30,2.60,4.30,5.90,6.60,5.65,4.70,5.10,8.10,3.30,,
Total,39.40,30.75,29.30,44.20,26.80,36.10,31.80,34.70,37.30,,,
Calc annual,39.40,30.75,29.30,44.20,26.80,36.10,31.80,34.70,37.30,30.55,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,NaN,,
