"CHESTERFIELD (SHEEPBRIDGE WKS)",,,,,,,,,,,,
Grid ref,SK371748,Long,-1.445191,Lat,53.268900,,,,,,,
Station no,2718/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,5.16,,
February,,,,,,,,,,3.04,,
March,,,,,,,,,,1.81,,
April,,,,,,,,,,1.03,,
May,,,,,,,,,,1.49,,
June,,,,,,,,,,0.78,,
July,,,,,,,,,0.94,3.60,,
August,,,,,,,,,0.91,3.19,,
September,,,,,,,,,0.04,3.60,,
October,,,,,,,,,2.73,6.05,,
November,,,,,,,,,3.74,4.15,,
December,,,,,,,,,3.95,2.82,,
Total,,,,,,,,,,36.72,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.31,36.72,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,,
