"BASILDON RECTORY",,,,,,,,,,,,
Grid ref,TQ714904,Long,0.472674,Lat,51.586387,,,,,,,
Station no,1276/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.85,1.54,,1.20,,,,,,,,
February,4.98,0.81,,2.12,,,,,,,,
March,2.41,3.37,,1.87,,,,,,,,
April,2.86,1.03,,0.33,,,,,,,,
May,2.25,1.38,,1.72,,,,,,,,
June,0.89,2.16,,2.92,,,,,,,,
July,2.36,0.73,,2.29,,,,,,,,
August,2.72,1.70,,3.47,,,,,,,,
September,2.72,3.42,,1.47,,,,,,,,
October,0.86,2.16,,1.67,,,,,,,,
November,3.22,4.40,,3.09,,,,,,,,
December,1.41,2.35,,1.05,,,,,,,,
Total,28.53,25.05,,23.20,,,,,,,,
Calc annual,28.53,25.05,0.00,23.20,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,-0.00,NaN,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
