"STRATFORD-ON-AVON (DRAYTON MANOR)",,,,,,,,,,,,
Grid ref,SP164549,Long,-1.761505,Lat,52.192099,,,,,,,
Station no,2442/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.33,1.31,0.78,1.07,2.24,,1.94,2.58,3.59,4.39,,
February,2.28,0.47,1.06,2.05,1.21,,2.23,3.35,0.07,1.73,,
March,3.65,2.21,0.87,1.93,1.92,0.77,2.03,1.15,1.72,0.79,,
April,2.49,2.04,1.71,0.67,0.98,0.86,0.23,0.69,2.59,0.58,,
May,3.04,2.40,1.26,1.90,4.71,0.82,1.16,2.25,1.29,1.22,,
June,0.94,1.77,2.56,2.25,2.69,1.89,1.26,4.09,0.82,2.13,,
July,0.82,0.28,4.19,3.13,0.13,1.82,4.01,2.89,1.07,3.52,,
August,4.45,4.65,3.35,3.70,0.37,4.89,3.44,2.80,1.34,4.13,,
September,1.82,1.14,2.56,2.22,,2.20,3.62,3.35,0.10,3.72,,
October,0.96,3.36,2.32,3.13,,1.97,1.31,2.33,2.39,3.58,,
November,5.52,2.36,1.09,4.94,,0.64,1.71,2.16,2.70,3.29,,
December,1.76,2.14,0.76,1.52,,3.06,1.88,2.33,3.58,3.12,,
Total,30.06,24.13,22.51,28.51,,,24.82,29.97,21.26,32.20,,
Calc annual,30.06,24.13,22.51,28.51,14.25,18.92,24.82,29.97,21.26,32.20,,
Difference,-0.00,0.00,0.00,0.00,NaN,NaN,0.00,-0.00,0.00,0.00,,
