"OVING HOUSE",,,,,,,,,,,,
Grid ref,SP788212,Long,-0.856541,Lat,51.883802,,,,,,,
Station no,1018,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.03,1.50,1.05,0.99,2.22,3.58,1.20,2.13,3.08,,,
February,3.18,0.57,1.45,2.13,1.23,0.37,2.36,2.45,0.05,,,
March,3.20,2.36,0.72,2.84,1.28,1.11,1.55,1.25,,,,
April,2.40,1.55,2.58,0.35,0.66,1.83,0.20,0.58,,,,
May,3.09,2.42,1.77,3.14,5.23,0.32,1.11,1.70,,,,
June,1.35,1.91,2.19,4.34,2.95,2.67,2.29,2.86,,,,
July,2.00,0.40,3.57,2.22,0.19,2.54,2.91,2.30,,,,
August,4.17,2.99,3.14,3.21,0.84,4.84,2.01,2.09,,,,
September,2.90,2.74,1.63,2.42,1.44,2.67,2.70,3.43,,,,
October,1.20,3.68,2.54,1.93,2.37,1.77,2.28,2.26,,,,
November,4.84,3.13,1.66,4.22,1.61,0.75,1.73,2.31,,,,
December,1.65,2.64,0.71,2.41,2.73,2.58,2.02,2.15,,,,
Total,33.01,25.89,23.01,30.20,22.75,25.03,22.36,25.51,,,,
Calc annual,33.01,25.89,23.01,30.20,22.75,25.03,22.36,25.51,3.13,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,NaN,NaN,,
