"LOCH LEE (INCHGRUNDLE)",,,,,,,,,,,,
Grid ref,NO413794,Long,-2.965375,Lat,56.902210,,,,,,,
Station no,5611/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,0.68,3.06,2.52,5.05,5.55,5.12,4.46,5.84,,
February,,,2.18,6.86,6.21,1.76,5.42,3.73,0.99,6.51,,
March,,,0.52,5.80,3.03,3.52,3.33,8.21,4.04,3.00,,
April,,,3.88,1.55,1.09,1.86,1.89,2.54,4.11,5.80,,
May,,4.50,2.85,6.96,4.15,1.19,3.35,4.38,1.19,1.63,,
June,,3.58,4.75,2.24,1.82,4.69,3.19,2.71,2.30,2.11,,
July,,1.92,5.60,2.95,1.01,4.93,7.52,4.81,3.39,4.69,,
August,,4.09,2.19,2.48,1.30,6.80,6.64,4.07,2.05,5.20,,
September,,2.17,4.72,3.43,1.98,4.66,2.06,5.10,0.62,4.50,,
October,,7.79,3.35,7.82,4.03,3.53,2.25,3.92,5.19,13.06,,
November,,3.09,4.68,12.86,3.82,1.52,2.76,1.31,10.57,7.94,,
December,,4.64,5.52,5.45,8.73,10.59,6.27,6.80,12.16,3.62,,
Total,,-999.00,40.92,61.46,39.69,50.10,50.23,52.70,51.07,63.90,,
Calc annual,0.00,31.78,40.92,61.46,39.69,50.10,50.23,52.70,51.07,63.90,,
Difference,NaN,-1030.78,0.00,0.00,-0.00,-0.00,-0.00,0.00,-0.00,0.00,,
