"LOUGHTON (HIGH BEECH RES)",,,,,,,,,,,,
Grid ref,TQ410980,Long,0.037253,Lat,51.663098,,,,,,,
Station no,1235,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.00,2.09,1.08,1.23,2.77,3.56,1.55,2.45,2.07,2.06,,
February,5.88,0.83,1.79,2.51,2.02,0.46,2.99,3.59,0.11,2.27,,
March,3.46,3.62,0.51,2.38,1.35,1.05,1.18,1.14,1.98,1.10,,
April,2.97,1.14,2.81,0.28,0.41,1.08,0.16,1.58,2.77,0.65,,
May,2.30,2.22,1.38,1.85,4.49,0.71,0.76,2.72,1.14,1.84,,
June,0.66,1.43,1.34,2.67,2.28,3.58,0.79,5.59,1.11,1.50,,
July,1.00,0.71,4.28,2.88,0.24,4.24,3.17,2.89,1.95,2.99,,
August,5.90,3.94,2.02,3.80,1.21,4.74,2.30,3.50,1.46,2.42,,
September,3.29,3.38,1.89,1.54,2.01,2.23,2.62,3.88,0.04,3.98,,
October,0.74,2.56,3.27,2.41,3.44,2.45,1.99,2.58,1.84,6.22,,
November,4.91,3.84,1.11,3.88,0.89,0.67,2.26,1.80,3.04,3.43,,
December,2.08,2.46,0.68,1.60,1.87,2.91,1.86,2.98,3.74,2.81,,
Total,36.19,28.22,22.16,27.03,22.98,27.68,21.63,34.70,21.25,31.27,,
Calc annual,36.19,28.22,22.16,27.03,22.98,27.68,21.63,34.70,21.25,31.27,,
Difference,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,,
