"NIDDERDALE (RAIN STANG)",,,,,,,,,,,,
Grid ref,SE079758,Long,-1.880464,Lat,54.177925,,,,,,,
Station no,3372,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.40,4.20,1.65,3.85,3.80,5.50,7.95,6.47,5.47,7.78,,
February,5.30,1.31,4.46,3.04,2.82,2.92,6.02,7.47,0.55,6.13,,
March,5.21,4.31,1.17,3.95,2.35,1.66,3.87,2.77,3.34,2.51,,
April,4.10,2.61,4.72,1.36,1.91,1.93,0.48,1.33,5.21,3.50,,
May,7.46,2.08,2.86,5.24,5.08,1.62,1.93,6.45,1.48,1.87,,
June,1.59,2.84,3.65,4.11,4.11,4.12,1.35,4.16,1.95,2.30,,
July,2.68,1.80,5.80,3.84,1.34,6.27,4.67,5.50,3.16,6.91,,
August,5.85,5.57,5.52,9.04,1.99,9.70,8.07,3.60,0.70,3.82,,
September,3.25,5.72,5.23,6.61,3.11,3.23,5.16,5.65,0.27,4.32,,
October,2.38,6.43,3.09,11.81,3.26,4.04,6.54,5.62,6.56,8.61,,
November,13.14,2.70,6.12,10.47,4.43,1.13,3.52,1.34,8.13,10.72,,
December,9.80,3.60,3.63,6.74,8.19,6.04,5.91,6.00,11.00,5.95,,
Total,65.16,43.17,47.90,70.06,42.39,48.16,55.47,56.36,47.82,64.42,,
Calc annual,65.16,43.17,47.90,70.06,42.39,48.16,55.47,56.36,47.82,64.42,,
Difference,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
