"STONEYFORD (BELFAST WATERWORKS)",,,,,,,,,,,,
Grid ref,IJ221701,Long,-6.112859,Lat,54.564601,,,,,,,
Station no,6232,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.35,4.25,1.54,2.98,4.91,3.38,3.99,4.67,2.24,4.38,,
February,4.20,0.95,1.47,3.85,3.18,1.33,2.15,4.81,1.53,2.58,,
March,3.62,1.46,0.36,3.26,1.61,1.85,3.20,2.10,2.69,2.57,,
April,2.18,1.84,1.80,0.73,2.62,1.35,1.45,1.93,3.18,3.13,,
May,3.58,1.24,1.78,4.46,2.88,1.26,2.35,3.71,1.14,2.37,,
June,3.06,3.43,1.83,2.99,4.94,3.53,1.38,6.49,2.15,2.39,,
July,5.22,2.27,5.55,4.67,1.59,3.28,4.79,5.26,5.13,7.90,,
August,4.53,5.80,3.09,2.94,1.31,7.76,4.77,3.88,1.08,6.51,,
September,2.63,1.91,2.69,4.12,4.40,3.47,5.81,5.76,1.64,2.82,,
October,0.78,4.40,1.89,6.08,2.70,2.78,4.19,2.68,4.23,5.42,,
November,7.40,3.71,3.74,5.66,2.49,1.41,2.26,1.99,3.93,3.92,,
December,4.43,4.02,3.43,4.78,5.00,5.43,5.01,5.41,5.65,2.99,,
Total,44.98,35.28,29.17,46.52,37.63,36.83,41.35,48.69,34.59,46.98,,
Calc annual,44.98,35.28,29.17,46.52,37.63,36.83,41.35,48.69,34.59,46.98,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
