"SETTLE (GAS WORKS)",,,,,,,,,,,,
Grid ref,SD816633,Long,-2.282628,Lat,54.065308,,,,,,,
Station no,3090,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.30,5.14,1.28,4.39,2.46,4.53,5.39,5.83,3.90,5.20,,
February,4.77,1.38,2.34,3.21,2.00,1.38,4.35,5.89,0.72,4.32,,
March,4.34,2.99,1.11,2.61,1.59,1.92,3.12,1.02,2.30,2.08,,
April,3.19,3.28,3.20,1.35,1.78,2.22,0.88,1.13,3.46,2.78,,
May,2.03,2.00,1.91,3.19,4.56,1.42,2.06,5.34,0.76,1.53,,
June,1.64,3.95,2.95,3.00,2.28,3.09,2.19,4.39,2.90,2.06,,
July,3.32,2.06,7.31,4.96,1.11,4.44,5.85,3.80,3.35,7.62,,
August,3.45,5.36,5.42,5.20,0.94,10.06,7.68,5.27,0.83,,,
September,3.23,4.14,5.33,6.96,2.49,2.99,5.60,5.40,0.31,,,
October,1.92,4.16,1.95,9.94,2.77,2.68,5.54,4.35,5.12,,,
November,8.64,2.05,4.81,8.69,2.56,1.53,2.28,1.60,5.85,,,
December,9.74,4.35,2.62,7.57,6.18,5.04,4.98,4.98,9.34,,,
Total,51.57,40.86,40.23,61.08,30.72,41.30,49.92,49.00,38.84,,,
Calc annual,51.57,40.86,40.23,61.07,30.72,41.30,49.92,49.00,38.84,25.59,,
Difference,-0.00,0.00,0.00,0.01,0.00,-0.00,0.00,0.00,0.00,NaN,,
