"COLCHESTER (CASTLE PARK)",,,,,,,,,,,,
Grid ref,TL999255,Long,0.903679,Lat,51.892192,,,,,,,
Station no,1318/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.57,2.03,0.84,1.28,2.43,3.61,0.94,2.57,1.89,2.05,,
February,4.34,0.66,1.12,2.16,1.74,0.42,2.46,2.57,0.07,1.73,,
March,2.60,2.95,0.38,2.01,1.37,0.84,1.78,0.81,1.39,1.49,,
April,2.61,1.09,1.80,0.28,0.13,0.81,0.11,1.02,2.05,0.41,,
May,2.22,1.23,1.25,1.56,3.00,0.62,0.87,2.11,0.28,0.91,,
June,0.94,1.64,3.51,2.28,2.55,2.04,1.33,4.57,0.64,0.97,,
July,1.98,0.63,3.38,2.63,0.12,3.43,3.55,2.68,1.13,2.71,,
August,2.56,2.27,2.71,2.86,2.08,3.71,3.04,3.93,0.76,3.65,,
September,2.04,3.04,1.49,1.60,1.75,1.32,2.89,3.32,0.01,3.40,,
October,0.61,2.08,2.04,1.61,4.05,1.25,1.54,2.40,1.76,6.25,,
November,3.54,4.09,1.20,3.36,0.51,0.52,2.47,1.05,2.43,3.55,,
December,2.09,2.42,0.67,1.62,1.57,1.89,2.17,3.61,3.87,2.56,,
Total,27.10,24.13,20.39,23.25,21.30,20.46,23.15,30.64,16.28,29.68,,
Calc annual,27.10,24.13,20.39,23.25,21.30,20.46,23.15,30.64,16.28,29.68,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
