"FLADDA LIGHTHOUSE",,,,,,,,,,,,
Grid ref,NM720123,Long,-5.681812,Lat,56.248342,,,,,,,
Station no,5444/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.81,1.15,0.50,2.00,0.90,,,,,,,
February,2.62,0.52,0.76,0.52,0.66,,,,,,,
March,2.02,0.94,0.61,1.05,0.08,,,,,,,
April,1.28,0.78,0.89,0.47,1.61,,,,,,,
May,0.80,0.78,2.62,1.56,1.49,,,,,,,
June,1.02,2.04,0.65,2.67,2.46,,,,,,,
July,2.15,0.72,2.30,1.76,0.56,,,,,,,
August,1.22,3.42,1.69,1.86,1.04,,,,,,,
September,2.21,1.21,3.16,1.89,4.57,,,,,,,
October,0.93,0.91,0.64,4.15,6.89,,,,,,,
November,1.99,0.63,2.84,2.64,2.97,,,,,,,
December,1.87,1.21,1.87,1.19,8.69,,,,,,,
Total,20.92,14.31,18.53,21.76,31.92,,,,,,,
Calc annual,20.92,14.31,18.53,21.76,31.92,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,-0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
