"WIMBOURNE (MODERN SCHOOL)",,,,,,,,,,,,
Grid ref,ST998006,Long,-2.004206,Lat,50.804956,,,,,,,
Station no,1611/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,3.97,,
February,,,,,,,,,,3.00,,
March,,,,,,,,,,1.98,,
April,,,,,,,,,,2.06,,
May,,,,,,,,,,2.44,,
June,,,,,,,,,,3.22,,
July,,,,,,,,,,3.30,,
August,,,,,,,,,,4.51,,
September,,,,,,,,,,7.91,,
October,,,,,,,,,,10.15,,
November,,,,,,,,,3.78,6.01,,
December,,,,,,,,,7.35,3.27,,
Total,,,,,,,,,,51.82,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.13,51.82,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
