"ESKDALEMUIR (KIDDAMHILL)",,,,,,,,,,,,
Grid ref,NT209024,Long,-3.247695,Lat,55.309305,,,,,,,
Station no,5040/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.40,5.83,3.06,5.75,6.03,4.30,6.90,6.30,3.96,7.11,,
February,4.37,1.53,2.08,5.01,2.02,1.97,5.02,2.93,2.15,9.19,,
March,4.79,4.82,1.25,5.16,3.08,3.04,4.48,0.95,3.62,2.54,,
April,5.76,4.41,4.61,1.73,2.65,1.25,2.00,0.65,4.83,7.50,,
May,2.20,3.15,3.34,6.95,5.32,4.36,2.26,1.12,2.63,3.85,,
June,2.81,5.04,3.50,7.05,3.66,3.78,1.43,2.27,2.90,4.79,,
July,5.48,4.23,11.29,6.59,2.62,7.17,4.65,6.34,5.56,5.56,,
August,8.90,5.41,5.50,6.79,2.52,8.35,6.63,5.76,1.00,6.38,,
September,7.11,2.59,6.48,9.99,4.63,4.30,5.46,6.15,1.83,4.10,,
October,0.59,6.06,1.05,14.83,3.33,4.42,7.44,5.15,6.82,3.18,,
November,9.95,4.07,9.43,12.32,2.62,2.22,2.46,2.28,11.03,9.43,,
December,10.29,5.69,5.08,8.49,8.05,6.60,5.33,5.78,8.96,7.73,,
Total,69.65,52.83,56.67,90.66,46.53,51.76,54.06,45.68,55.29,71.36,,
Calc annual,69.65,52.83,56.67,90.66,46.53,51.76,54.06,45.68,55.29,71.36,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
