"MAUGHOLD HEAD",,,,,,,,,,,,
Grid ref,SC498914,Long,-4.309436,Lat,54.296070,,,,,,,
Station no,4419,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.74,4.03,1.77,2.27,3.01,2.94,4.33,3.51,,4.15,,
February,3.61,0.70,1.69,3.45,1.50,0.65,4.21,2.61,,5.09,,
March,4.03,3.05,0.40,3.12,0.75,1.99,1.63,0.74,,0.97,,
April,2.40,2.36,2.91,0.75,2.44,0.51,1.15,0.53,,2.38,,
May,3.31,2.73,3.26,3.18,2.47,0.28,2.87,2.49,,2.21,,
June,0.94,1.93,1.15,2.04,3.59,1.68,1.84,3.54,,1.30,,
July,1.76,1.09,1.60,2.22,2.02,4.31,2.50,2.03,,4.20,,
August,5.09,5.76,3.53,2.66,1.58,6.67,3.09,2.64,,2.93,,
September,5.26,3.00,4.70,5.47,1.80,4.24,3.72,4.50,,3.81,,
October,0.58,3.71,3.07,6.58,1.41,1.82,4.35,3.44,,4.42,,
November,6.23,2.60,5.22,8.24,1.85,0.96,1.76,3.16,,8.77,,
December,6.70,2.49,1.89,6.44,3.82,5.40,2.00,4.94,,4.69,,
Total,46.65,33.45,31.19,46.42,26.24,31.45,33.45,34.13,,44.92,,
Calc annual,46.65,33.45,31.19,46.42,26.24,31.45,33.45,34.13,0.00,44.92,,
Difference,-0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,NaN,0.00,,
