"CORFE MULLEN (THE PLANTATION)",,,,,,,,,,,,
Grid ref,SY976963,Long,-2.035397,Lat,50.766283,,,,,,,
Station no,1606/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.51,2.25,1.06,1.91,4.92,6.18,3.00,4.33,4.43,4.07,,
February,6.30,0.74,1.68,3.29,2.61,0.22,4.45,3.10,0.36,3.09,,
March,4.53,2.99,0.63,4.54,1.69,1.02,3.45,1.82,4.01,2.24,,
April,4.31,1.85,2.57,0.15,1.33,2.25,0.15,0.63,3.05,2.28,,
May,1.17,2.42,2.64,3.62,4.60,0.15,2.56,2.66,1.23,2.41,,
June,0.45,0.87,1.95,2.77,3.11,2.17,0.99,5.23,1.46,2.49,,
July,1.57,0.83,2.87,2.65,1.08,3.10,3.61,1.95,2.38,3.80,,
August,4.39,2.98,2.29,3.65,0.46,4.06,3.19,3.51,2.57,4.03,,
September,4.31,3.85,2.89,3.50,1.67,4.86,3.72,4.27,0.27,7.42,,
October,1.32,4.20,3.87,3.79,5.99,2.56,3.18,4.45,3.31,8.84,,
November,9.26,3.80,1.76,7.09,4.14,1.01,2.52,2.75,4.19,5.99,,
December,3.06,2.81,1.20,4.28,6.28,6.20,2.90,3.32,8.44,3.69,,
Total,44.18,29.59,25.41,41.24,37.88,33.78,33.72,38.02,35.70,50.35,,
Calc annual,44.18,29.59,25.41,41.24,37.88,33.78,33.72,38.02,35.70,50.35,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
