"POOLE (PITWINES GAS WORKS)",,,,,,,,,,,,
Grid ref,SZ016907,Long,-1.978701,Lat,50.715927,,,,,,,
Station no,1581/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.40,2.00,0.90,2.02,3.38,4.91,2.70,4.33,4.06,3.65,,
February,6.92,0.78,1.28,3.09,2.03,0.11,4.47,3.20,0.32,2.96,,
March,4.57,2.68,0.50,4.46,1.20,0.98,2.57,1.51,3.41,2.71,,
April,3.74,1.75,2.16,0.09,0.53,2.12,0.12,0.49,2.69,1.90,,
May,2.17,2.11,2.47,1.84,4.00,0.53,1.74,2.00,0.93,1.93,,
June,0.29,0.77,2.34,2.35,2.44,2.03,1.41,3.67,1.66,1.84,,
July,1.17,0.77,2.57,3.04,0.39,3.92,2.56,1.83,1.78,3.80,,
August,3.95,2.57,1.71,2.82,1.00,3.30,3.33,3.47,2.62,4.47,,
September,3.59,4.78,2.70,3.30,1.10,4.98,2.79,4.56,0.23,6.75,,
October,1.21,4.74,3.43,2.90,5.46,1.60,2.99,3.11,2.88,10.78,,
November,9.04,3.67,1.84,6.29,2.79,0.88,2.27,2.52,4.05,5.69,,
December,3.34,2.89,0.82,3.15,5.74,6.44,2.42,4.41,8.63,3.40,,
Total,43.39,29.51,22.72,35.35,30.06,31.80,29.37,35.10,33.26,49.88,,
Calc annual,43.39,29.51,22.72,35.35,30.06,31.80,29.37,35.10,33.26,49.88,,
Difference,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
