"WELLS WATERWORKS (OUTFALL SEW. WKS.)",,,,,,,,,,,,
Grid ref,TF912440,Long,0.845149,Lat,52.959279,,,,,,,
Station no,1451/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.51,2.93,1.31,1.96,2.23,3.17,1.75,2.42,3.64,3.56,,
February,2.35,0.85,1.52,2.57,2.70,1.72,2.80,3.85,0.12,1.94,,
March,3.63,2.19,0.87,2.29,1.78,0.68,1.83,0.97,0.86,1.92,,
April,2.98,1.54,2.29,0.36,1.07,0.61,0.40,1.06,2.26,0.70,,
May,2.94,1.71,1.58,1.63,2.79,0.54,1.06,2.61,1.06,0.25,,
June,1.47,0.62,2.72,2.64,2.10,1.88,1.92,1.97,0.95,0.66,,
July,1.70,0.99,1.95,2.92,0.39,2.79,1.74,4.86,2.70,2.20,,
August,3.26,2.03,1.83,3.61,0.96,3.28,1.56,2.45,2.23,2.79,,
September,2.09,3.26,1.01,2.10,0.91,1.53,3.78,2.25,0.13,2.90,,
October,0.55,1.83,2.05,2.46,1.50,1.88,1.30,2.02,2.05,3.24,,
November,2.48,3.73,1.39,3.83,0.91,1.02,2.05,0.97,1.95,3.57,,
December,1.32,2.36,1.15,1.87,1.73,1.32,2.34,2.53,4.01,3.69,,
Total,27.28,24.04,19.67,28.24,19.07,20.42,22.53,27.96,21.96,27.42,,
Calc annual,27.28,24.04,19.67,28.24,19.07,20.42,22.53,27.96,21.96,27.42,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
