"LYTCHETT MINSTER SCHOOL",,,,,,,,,,,,
Grid ref,SY960935,Long,-2.058053,Lat,50.741094,,,,,,,
Station no,1590/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.54,,,1.52,,,,,,,,
February,5.69,0.65,1.15,2.37,,,,,,,,
March,4.62,2.41,0.46,3.98,,,,,,,,
April,2.88,1.56,,0.12,,,,,,,,
May,2.30,2.15,2.55,2.63,,,,,,,,
June,0.32,0.60,2.16,2.81,,,,,,,,
July,1.27,0.70,,2.57,,,,,,,,
August,4.50,,,3.00,,,,,,,,
September,3.55,3.85,2.60,3.32,,,,,,,,
October,1.15,3.15,,2.48,,,,,,,,
November,9.20,2.85,,5.50,,,,,,,,
December,2.00,,,3.37,,,,,,,,
Total,41.02,,,33.67,,,,,,,,
Calc annual,41.02,17.92,8.92,33.67,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,NaN,NaN,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
