"SPALDING",,,,,,,,,,,,
Grid ref,TF250228,Long,-0.147859,Lat,52.788305,,,,,,,
Station no,2529/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,2.18,2.56,3.43,,
February,,,,,,,,3.21,0.11,2.42,,
March,,,,,,,,1.37,2.00,1.21,,
April,,,,,,,,0.71,1.11,0.39,,
May,,,,,,,,2.27,0.59,0.73,,
June,,,,,,,1.97,3.80,0.82,1.24,,
July,,,,,,,2.36,3.27,1.67,2.43,,
August,,,,,,,2.13,2.67,0.81,3.07,,
September,,,,,,,3.06,2.19,0.26,2.48,,
October,,,,,,,1.06,1.95,1.15,5.41,,
November,,,,,,,1.94,1.38,1.41,3.35,,
December,,,,,,,1.96,2.51,3.36,3.20,,
Total,,,,,,,,27.51,15.85,29.36,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,14.48,27.51,15.85,29.36,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
