"HERONSGATE (WATERFIELD HOUSE)",,,,,,,,,,,,
Grid ref,TQ023949,Long,-0.522959,Lat,51.643605,,,,,,,
Station no,911,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.50,1.84,,,,,,,,,,
February,4.75,0.52,,,,,,,,,,
March,3.79,3.08,,,,,,,,,,
April,3.18,2.12,,,,,,,,,,
May,2.21,1.74,,,,,,,,,,
June,1.76,1.30,,,,,,,,,,
July,0.89,0.60,,,,,,,,,,
August,3.64,3.10,,,,,,,,,,
September,3.16,3.70,,,,,,,,,,
October,0.94,3.74,,,,,,,,,,
November,6.10,3.63,,,,,,,,,,
December,1.81,3.08,,,,,,,,,,
Total,35.73,28.45,,,,,,,,,,
Calc annual,35.73,28.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,-0.00,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
