"ELGIN (MILLTOWN)",,,,,,,,,,,,
Grid ref,NJ263652,Long,-3.237187,Lat,57.670614,,,,,,,
Station no,5679/6/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,,,
February,,,,,,,,,,,,
March,,,,,,,,,,,,
April,,,,,,,,,,,,
May,0.70,,,,,,,,,,,
June,2.21,,,,,,,,,,,
July,3.39,,,,,,,,,,,
August,,,,,,,,,,,,
September,0.43,,,,,,,,,,,
October,,,,,,,,,,,,
November,,,,,,,,,,,,
December,,,,,,,,,,,,
Total,,,,,,,,,,,,
Calc annual,6.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
