"SCARBOROUGH (SCALBY)",,,,,,,,,,,,
Grid ref,TA005900,Long,-0.457332,Lat,54.295742,,,,,,,
Station no,3467,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.98,2.69,1.24,1.78,1.70,4.16,1.53,,,,,
February,2.57,1.10,2.19,1.94,2.25,3.01,2.39,,,,,
March,3.19,2.04,0.23,2.49,2.29,1.07,1.23,,,,,
April,1.82,1.24,2.84,0.35,1.22,0.80,0.93,,,,,
May,4.74,1.38,1.97,1.95,3.71,0.83,1.23,,,,,
June,0.91,1.35,3.29,1.44,2.17,2.97,1.33,,,,,
July,2.45,2.34,1.81,1.83,0.66,3.91,3.64,,,,,
August,6.49,1.98,3.15,5.07,0.92,6.15,2.44,,,,,
September,0.94,4.95,1.03,1.86,1.37,1.53,2.86,,,,,
October,0.70,2.78,1.62,3.80,2.54,1.85,3.33,,,,,
November,4.39,4.94,2.06,5.16,1.77,2.05,2.33,,,,,
December,2.02,3.60,1.34,1.83,3.94,2.17,2.16,,,,,
Total,32.20,30.39,22.77,29.50,24.54,30.50,25.40,,,,,
Calc annual,32.20,30.39,22.77,29.50,24.54,30.50,25.40,0.00,0.00,0.00,,
Difference,0.00,-0.00,-0.00,0.00,0.00,0.00,-0.00,NaN,NaN,NaN,,
