"LUTTON (COUNTY PRIMARY SCH)",,,,,,,,,,,,
Grid ref,SE932695,Long,-0.575804,Lat,54.112940,,,,,,,
Station no,3405/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,6.43,,
February,,,,,,,,,0.41,3.85,,
March,,,,,,,,,1.68,1.78,,
April,,,,,,,,,3.02,0.87,,
May,,,,,,,,,0.62,1.75,,
June,,,,,,,,,1.29,0.36,,
July,,,,,,,,,2.24,,,
August,,,,,,,,,0.22,,,
September,,,,,,,,,0.16,2.54,,
October,,,,,,,,,2.31,6.92,,
November,,,,,,,,,4.13,4.71,,
December,,,,,,,,,5.02,4.41,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.10,33.62,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
