"CLASHGOUR",,,,,,,,,,,,
Grid ref,NN235426,Long,-4.872287,Lat,56.542148,,,,,,,
Station no,5409/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,4.29,9.83,11.83,6.30,,,
February,,,,,,3.11,4.37,8.55,7.38,,,
March,,,,,,3.97,10.85,3.73,9.05,,,
April,,,,,,3.43,5.15,6.12,11.20,,,
May,,,,,,3.94,1.81,11.77,3.69,,,
June,,,,,,1.83,5.64,3.18,7.64,,,
July,,,,,,5.15,6.39,3.41,11.90,,,
August,,,,,,3.45,6.02,10.15,7.25,,,
September,,,,,,2.83,7.95,7.70,4.86,,,
October,,,,,8.98,6.38,12.95,13.13,9.31,,,
November,,,,,3.12,6.19,7.00,3.05,11.01,,,
December,,,,,15.47,14.79,16.13,8.48,12.99,,,
Total,,,,,,59.36,94.09,91.10,102.58,,,
Calc annual,0.00,0.00,0.00,0.00,27.57,59.36,94.09,91.10,102.58,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,NaN,,
