"KNUTSFORD (THE SYCAMORES)",,,,,,,,,,,,
Grid ref,SJ760790,Long,-2.361634,Lat,53.307393,,,,,,,
Station no,2728,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.65,,,,2.56,4.61,1.79,3.22,2.82,4.88,,
February,2.21,,,,2.43,0.52,2.12,4.45,0.31,2.47,,
March,4.79,,,,2.05,1.15,2.88,1.53,1.89,0.97,,
April,2.05,,,,2.71,3.51,0.40,0.90,3.29,1.46,,
May,3.04,,,,2.27,0.97,1.88,2.60,2.25,2.04,,
June,1.36,,,,3.19,2.45,2.17,6.52,2.01,2.55,,
July,3.44,,,,0.69,5.13,4.78,4.30,3.20,4.30,,
August,4.53,,,,0.57,10.56,3.26,4.24,0.35,4.83,,
September,2.78,,,,2.28,2.29,7.23,4.37,0.21,3.74,,
October,0.88,,,,2.23,2.74,3.50,3.10,2.89,4.17,,
November,,,,,1.82,1.50,1.62,1.65,4.01,5.27,,
December,,,,,3.65,2.90,3.08,4.02,4.51,3.16,,
Total,,,,,26.45,38.33,34.71,40.90,27.74,39.84,,
Calc annual,27.73,0.00,0.00,0.00,26.45,38.33,34.71,40.90,27.74,39.84,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,-0.00,0.00,,
