"COMRIE (DRUMEARN)",,,,,,,,,,,,
Grid ref,NN767219,Long,-3.997959,Lat,56.373273,,,,,,,
Station no,5543/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,2.73,4.77,,
February,,,,,,,,,1.88,6.80,,
March,,,,,,,,,4.17,3.25,,
April,,,,,,,,,3.69,6.35,,
May,,,,,,,,,1.24,4.18,,
June,,,,,,,,,2.33,2.73,,
July,,,,,,,,4.60,5.11,3.74,,
August,,,,,,,,4.55,1.97,3.96,,
September,,,,,,,,5.13,0.97,4.21,,
October,,,,,,,,4.83,5.44,6.90,,
November,,,,,,,,1.77,8.58,8.22,,
December,,,,,,,,7.78,10.11,6.37,,
Total,,,,,,,,,48.22,61.48,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.66,48.22,61.48,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
