"BIRMINGHAM WW (BRYN HIR)",,,,,,,,,,,,
Grid ref,SN843681,Long,-3.698101,Lat,52.298800,,,,,,,
Station no,4239,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.80,7.10,4.75,6.40,6.90,9.75,6.70,7.50,9.85,12.45,,
February,7.70,6.25,4.50,8.35,3.30,1.75,6.90,11.05,1.55,10.80,,
March,10.70,3.90,7.00,4.95,4.35,5.95,6.75,1.80,5.20,3.55,,
April,7.95,3.60,5.00,4.00,6.25,2.80,0.65,3.15,7.55,6.15,,
May,3.55,3.50,4.20,4.50,6.85,2.65,3.50,5.00,1.75,2.25,,
June,1.75,4.75,2.05,6.65,8.30,3.75,3.25,5.65,3.80,3.80,,
July,3.80,2.70,8.55,9.30,1.10,5.05,9.55,5.15,6.25,8.55,,
August,7.00,6.75,5.75,8.10,1.90,10.80,13.00,5.50,0.80,7.15,,
September,5.80,6.40,8.05,8.75,6.15,7.30,13.95,9.15,0.70,6.65,,
October,2.30,9.35,4.40,11.50,7.05,5.30,8.45,8.80,11.10,7.05,,
November,14.60,5.90,6.90,12.25,3.35,5.20,4.45,4.05,8.95,13.75,,
December,10.40,8.35,3.25,10.75,8.70,8.05,8.80,6.85,12.50,11.70,,
Total,83.35,68.55,64.40,95.50,64.20,68.35,85.95,73.65,70.00,93.85,,
Calc annual,83.35,68.55,64.40,95.50,64.20,68.35,85.95,73.65,70.00,93.85,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
