"SKYE (TALLISKER)",,,,,,,,,,,,
Grid ref,NG325302,Long,-6.440643,Lat,57.283833,,,,,,,
Station no,5757/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,11.45,7.45,4.71,6.21,4.04,5.25,8.56,9.00,5.01,3.91,,
February,4.06,3.07,5.67,5.20,3.41,4.17,4.88,3.83,2.39,5.25,,
March,4.26,7.16,1.94,4.42,2.52,2.54,7.47,2.14,4.29,2.30,,
April,4.19,3.02,5.55,2.14,4.96,2.57,3.90,2.84,4.47,4.45,,
May,0.47,3.74,3.35,3.96,3.11,5.11,2.81,5.87,1.20,2.95,,
June,3.14,5.47,2.05,5.57,4.90,3.40,3.11,2.90,5.23,4.57,,
July,6.52,4.67,6.55,5.39,2.57,6.85,4.84,2.14,9.31,4.26,,
August,5.88,4.84,6.08,5.21,1.91,5.19,5.42,5.40,4.55,4.05,,
September,5.02,4.72,6.32,8.50,10.11,4.74,4.09,5.44,5.01,5.36,,
October,6.04,6.49,9.30,8.72,9.10,6.13,9.38,7.40,8.42,0.97,,
November,6.46,3.48,11.40,9.05,2.87,6.66,5.96,5.04,8.38,8.89,,
December,9.47,8.33,6.16,6.40,6.16,7.03,6.72,4.41,11.27,8.81,,
Total,66.96,62.44,69.08,70.77,-999.00,59.64,67.14,56.41,69.53,55.77,,
Calc annual,66.96,62.44,69.08,70.77,55.66,59.64,67.14,56.41,69.53,55.77,,
Difference,0.00,0.00,0.00,-0.00,-1054.66,0.00,0.00,0.00,0.00,0.00,,
