"BREWOOD (BELVIDE RESERVOIR)",,,,,,,,,,,,
Grid ref,SJ861105,Long,-2.207092,Lat,52.692003,,,,,,,
Station no,2340,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.31,2.69,1.06,1.46,2.39,3.38,1.52,1.65,2.62,5.36,,
February,2.65,0.56,1.79,2.13,1.98,0.74,2.15,3.45,0.38,2.39,,
March,4.60,1.80,1.18,2.02,3.13,0.93,1.98,1.46,2.27,1.47,,
April,2.12,2.84,2.50,0.44,1.27,1.60,0.28,0.77,3.66,1.29,,
May,3.47,2.89,3.20,2.48,4.14,0.75,1.55,2.04,1.10,2.07,,
June,1.43,2.84,2.62,3.43,2.41,1.97,2.07,4.59,1.51,2.63,,
July,1.66,1.06,3.08,4.27,2.56,2.74,3.08,5.51,1.58,3.68,,
August,4.72,2.95,2.68,4.86,0.93,4.55,3.04,3.15,1.13,4.34,,
September,2.57,1.59,2.63,2.49,2.34,2.71,5.08,4.42,0.23,5.60,,
October,1.20,3.99,1.80,4.36,1.58,2.00,2.03,3.06,2.52,4.65,,
November,5.96,2.32,1.98,6.00,2.36,0.74,2.13,1.88,3.61,4.38,,
December,3.09,3.73,1.29,2.96,1.92,2.17,1.40,2.67,4.06,3.19,,
Total,35.78,29.26,25.81,36.90,27.01,24.28,26.31,34.65,24.67,41.05,,
Calc annual,35.78,29.26,25.81,36.90,27.01,24.28,26.31,34.65,24.67,41.05,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
