"CRAIGIEBUCKLER",,,,,,,,,,,,
Grid ref,NJ903045,Long,-2.161871,Lat,57.131313,,,,,,,
Station no,5642/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.35,2.78,1.35,1.28,1.57,4.22,2.81,4.58,2.95,4.33,,
February,3.49,1.33,1.26,2.75,3.41,2.20,2.39,4.38,0.28,3.53,,
March,3.30,4.49,0.32,2.55,2.36,1.50,2.42,5.08,1.48,1.55,,
April,3.13,1.44,2.68,1.63,0.90,1.55,1.40,1.64,2.94,1.91,,
May,1.60,2.81,2.81,4.33,3.73,0.45,1.27,3.49,1.78,0.89,,
June,2.32,3.11,2.78,2.59,1.66,1.61,2.27,2.00,2.76,1.86,,
July,5.25,2.01,4.24,3.56,1.12,5.59,7.66,6.18,1.88,4.12,,
August,4.60,4.68,2.82,3.50,0.44,3.62,4.54,3.51,0.59,4.72,,
September,1.48,1.94,4.50,1.78,1.91,5.38,2.03,2.88,0.76,3.11,,
October,0.80,3.24,1.80,5.53,5.52,2.80,1.32,1.94,4.05,8.68,,
November,8.56,3.73,2.48,5.84,2.73,1.73,1.75,0.68,4.91,5.77,,
December,2.32,2.60,3.43,4.27,5.40,3.97,3.49,5.23,4.62,2.53,,
Total,41.20,34.16,30.47,39.61,30.75,34.62,33.35,41.59,29.00,43.00,,
Calc annual,41.20,34.16,30.47,39.61,30.75,34.62,33.35,41.59,29.00,43.00,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
