"LITCHBOROUGH RECTORY",,,,,,,,,,,,
Grid ref,SP633542,Long,-1.075605,Lat,52.182427,,,,,,,
Station no,1102/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,1.33,0.90,2.27,4.24,1.65,2.96,3.84,3.69,,
February,,,1.66,2.80,1.64,0.53,2.66,3.05,0.00,2.07,,
March,,,1.18,3.03,2.09,0.87,2.11,1.40,2.50,1.16,,
April,,,2.26,0.38,0.87,1.21,0.52,0.84,2.86,0.44,,
May,,,1.49,2.83,4.34,0.46,1.53,1.82,0.51,1.46,,
June,,1.33,2.30,2.68,2.84,2.59,2.17,4.44,0.96,2.78,,
July,,0.34,2.95,3.56,0.25,3.80,3.32,2.49,2.02,3.24,,
August,,3.30,3.21,4.14,0.23,3.68,2.18,1.99,1.42,3.00,,
September,,1.85,1.51,2.64,2.10,2.50,4.80,2.35,0.06,3.70,,
October,,3.52,3.20,2.55,1.79,1.43,1.74,2.20,2.07,5.14,,
November,,2.76,1.58,5.28,1.30,0.75,2.19,1.66,1.99,3.25,,
December,,2.93,0.94,2.27,2.03,3.18,2.34,2.40,4.28,3.10,,
Total,,,23.61,33.06,21.75,25.24,27.21,27.60,22.51,33.03,,
Calc annual,0.00,16.03,23.61,33.06,21.75,25.24,27.21,27.60,22.51,33.03,,
Difference,NaN,NaN,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
