"HAVERHILL (WATERWORKS)",,,,,,,,,,,,
Grid ref,TL660482,Long,0.422529,Lat,52.107219,,,,,,,
Station no,1337/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.07,1.90,0.97,1.23,2.08,2.71,1.13,2.07,2.61,2.40,,
February,3.53,0.88,1.39,1.97,1.55,0.76,1.95,2.62,0.22,1.38,,
March,3.30,2.80,0.50,2.09,1.15,0.70,1.32,0.72,2.00,1.53,,
April,3.07,1.19,1.94,0.25,0.44,1.11,0.09,0.89,2.08,0.36,,
May,2.51,0.94,1.79,2.46,2.71,0.58,1.17,2.20,0.78,0.89,,
June,1.57,1.47,2.75,2.26,2.62,1.78,1.65,5.79,1.26,1.63,,
July,0.98,0.88,2.11,3.33,0.86,1.95,3.06,3.24,3.29,3.29,,
August,2.88,3.14,1.90,4.17,0.72,4.81,2.51,3.23,0.61,3.94,,
September,2.78,2.46,1.55,1.27,2.14,1.84,2.81,2.95,0.07,3.90,,
October,1.08,2.05,2.87,2.28,4.58,2.11,1.94,1.86,1.68,6.04,,
November,3.87,3.79,1.13,3.32,0.64,0.97,3.23,1.63,1.87,3.29,,
December,1.56,2.36,0.81,2.28,1.97,2.13,1.71,2.79,4.60,4.00,,
Total,29.20,23.86,19.71,26.91,21.46,21.45,22.57,29.99,21.07,32.65,,
Calc annual,29.20,23.86,19.71,26.91,21.46,21.45,22.57,29.99,21.07,32.65,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
