"ELY LODGE",,,,,,,,,,,,
Grid ref,IH192512,Long,-7.705027,Lat,54.409152,,,,,,,
Station no,6187/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,2.45,3.79,,
February,,,,,,,,,0.93,4.12,,
March,,,,,,,,,3.09,2.10,,
April,,,,,,,,1.81,3.97,2.86,,
May,,,,,,,,2.81,1.95,2.27,,
June,,,,,,,,4.71,2.92,2.96,,
July,,,,,,,,5.07,3.17,6.61,,
August,,,,,,,,5.24,1.73,5.00,,
September,,,,,,,,3.43,2.29,2.87,,
October,,,,,,,,2.53,6.57,3.07,,
November,,,,,,,,2.64,5.06,5.69,,
December,,,,,,,,5.53,6.94,5.07,,
Total,,,,,,,,,41.07,46.41,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.77,41.07,46.41,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
