"MAESTEG (WELFARE PARK)",,,,,,,,,,,,
Grid ref,SS847913,Long,-3.666443,Lat,51.608691,,,,,,,
Station no,4069/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,9.89,7.64,2.84,5.93,5.02,8.99,7.94,7.07,7.27,8.23,,
February,6.57,1.59,5.70,8.84,3.73,0.75,7.14,8.94,0.83,5.50,,
March,7.77,7.91,3.92,6.12,3.94,3.38,11.16,1.49,7.88,2.89,,
April,6.73,6.21,4.49,2.48,5.77,2.15,1.22,1.73,5.98,5.14,,
May,3.38,4.76,5.08,4.83,7.53,2.54,3.58,6.46,1.48,1.55,,
June,2.23,4.18,4.06,9.09,9.88,4.84,1.37,7.10,4.40,3.58,,
July,2.42,3.06,11.01,10.57,0.97,6.45,7.59,8.47,6.22,12.32,,
August,13.56,9.80,9.52,9.08,1.46,11.65,8.05,8.20,2.53,11.08,,
September,7.08,4.29,6.90,11.50,4.21,9.37,13.53,12.74,0.78,8.12,,
October,1.49,6.22,5.25,16.19,4.55,3.08,9.16,10.01,8.21,7.39,,
November,12.78,5.45,7.12,13.73,6.00,2.29,3.11,5.99,11.85,16.44,,
December,6.98,7.11,2.74,7.25,10.97,8.02,5.50,8.00,14.42,9.00,,
Total,80.88,68.22,68.63,105.61,64.03,63.51,79.35,86.20,71.85,91.24,,
Calc annual,80.88,68.22,68.63,105.61,64.03,63.51,79.35,86.20,71.85,91.24,,
Difference,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
