"SUDBURY (WATERWORKS) STATION)",,,,,,,,,,,,
Grid ref,TL869423,Long,0.724131,Lat,52.047573,,,,,,,
Station no,1336/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.87,2.08,0.85,1.58,2.47,3.25,1.21,2.35,1.91,2.27,,
February,3.81,0.62,1.02,1.75,1.92,0.75,2.11,3.26,0.14,1.23,,
March,2.48,3.05,0.40,2.08,1.38,0.61,1.45,0.81,1.61,1.61,,
April,2.48,1.25,2.26,0.38,0.27,0.73,0.24,1.12,2.07,0.42,,
May,2.27,0.79,1.57,1.81,2.60,0.55,0.93,2.11,0.32,0.60,,
June,1.31,0.94,3.75,3.22,2.83,1.89,1.58,4.69,1.97,0.85,,
July,2.40,0.68,2.50,2.89,0.13,3.28,2.56,2.51,1.95,3.08,,
August,2.57,2.79,1.60,3.53,2.68,4.24,2.03,4.45,0.61,2.97,,
September,3.30,2.61,1.51,1.16,1.87,1.72,2.62,2.64,0.05,3.98,,
October,0.60,2.23,2.18,1.64,4.06,2.16,1.97,2.11,1.82,5.77,,
November,3.84,3.98,1.21,3.80,0.76,0.68,2.56,1.29,1.97,3.30,,
December,1.68,3.54,0.72,2.23,1.58,1.94,1.82,2.95,3.65,2.46,,
Total,28.61,24.56,19.57,26.07,22.55,21.80,21.08,30.29,18.07,28.54,,
Calc annual,28.61,24.56,19.57,26.07,22.55,21.80,21.08,30.29,18.07,28.54,,
Difference,-0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
