"BANCHORY (INVERCANNIE)",,,,,,,,,,,,
Grid ref,NO664966,Long,-2.555604,Lat,57.059219,,,,,,,
Station no,5624,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.87,1.82,1.21,1.33,1.26,3.90,2.61,2.68,1.97,4.32,,
February,4.09,1.20,1.18,3.67,3.42,1.96,2.64,3.37,0.23,3.54,,
March,2.42,3.31,0.29,2.97,1.57,1.51,2.31,3.72,1.26,2.11,,
April,2.63,1.22,3.75,0.89,0.45,1.33,1.17,1.82,1.94,1.56,,
May,1.37,1.82,1.28,4.32,2.03,0.36,2.48,2.55,1.55,0.81,,
June,1.02,2.08,3.58,1.56,1.35,1.83,2.27,2.30,2.62,1.17,,
July,4.91,1.40,3.27,2.81,0.59,4.14,6.59,6.94,1.86,3.40,,
August,3.09,3.65,1.69,2.88,0.51,3.93,5.63,5.27,0.49,6.17,,
September,1.29,0.98,2.54,1.06,2.51,4.68,1.78,1.67,0.65,2.97,,
October,0.98,3.88,1.95,5.87,4.18,2.05,1.06,1.18,4.09,8.73,,
November,8.56,3.38,2.27,7.59,1.75,1.37,1.53,0.54,7.64,5.22,,
December,2.38,3.68,2.93,4.20,5.12,4.36,4.33,5.55,6.28,2.32,,
Total,36.61,28.42,25.94,39.15,24.74,31.42,34.40,37.59,30.58,42.32,,
Calc annual,36.61,28.42,25.94,39.15,24.74,31.42,34.40,37.59,30.58,42.32,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
