"BISHOP'S STORTFORD (DUNMOW ROAD)",,,,,,,,,,,,
Grid ref,TL499213,Long,0.175882,Lat,51.870138,,,,,,,
Station no,964/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.57,2.09,1.05,1.14,2.29,3.29,1.17,2.14,,,,
February,4.53,0.64,1.94,2.16,1.79,0.67,2.79,2.94,,,,
March,3.05,2.93,0.40,2.20,1.42,0.78,1.16,2.01,,,,
April,2.71,1.27,2.68,0.28,0.37,1.17,0.29,1.10,,,,
May,2.55,1.05,1.56,1.66,4.91,0.52,0.56,2.49,,,,
June,1.02,1.84,2.12,2.18,3.02,1.89,1.72,5.10,,,,
July,1.05,0.67,3.46,3.16,0.63,3.54,2.87,3.09,,,,
August,5.03,5.69,2.47,3.32,1.09,4.58,2.49,3.25,,,,
September,2.86,2.71,1.46,1.59,2.01,1.97,3.66,3.72,,,,
October,0.97,2.34,3.00,2.53,4.02,1.68,2.40,2.46,,,,
November,4.34,4.05,1.15,3.65,0.85,0.97,2.32,2.03,,,,
December,1.79,2.59,0.79,2.00,1.98,2.65,2.56,2.75,,,,
Total,32.47,27.87,22.08,25.87,24.38,23.71,23.99,33.08,,,,
Calc annual,32.47,27.87,22.08,25.87,24.38,23.71,23.99,33.08,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,NaN,NaN,,
