"RAYNES PARK (COTTENHAM PARK PS)",,,,,,,,,,,,
Grid ref,TQ237695,Long,-0.222745,Lat,51.411038,,,,,,,
Station no,158,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.17,1.68,0.90,1.11,2.38,3.56,1.56,1.89,2.02,1.71,,
February,5.61,0.90,1.07,1.93,1.36,0.41,2.82,2.26,0.09,1.46,,
March,3.07,3.08,0.40,1.96,0.98,0.86,0.75,1.07,1.88,1.82,,
April,2.47,1.17,2.07,0.22,0.26,1.12,0.31,1.36,1.86,0.65,,
May,1.99,1.88,1.24,2.90,3.95,0.28,1.30,2.14,0.72,2.30,,
June,1.01,1.58,1.04,3.62,2.50,2.45,1.14,4.10,0.96,1.47,,
July,1.50,0.64,3.48,2.89,1.19,4.59,2.92,2.12,1.00,3.13,,
August,2.50,2.23,1.21,3.06,0.92,2.77,3.91,3.38,1.67,3.69,,
September,3.32,3.22,2.21,2.15,1.92,2.04,2.14,4.41,0.05,2.99,,
October,0.75,2.40,2.97,2.12,2.66,1.62,1.85,2.96,2.11,4.60,,
November,5.53,2.94,0.83,3.57,0.57,0.50,2.49,1.73,2.83,3.44,,
December,1.87,2.24,0.55,1.80,1.95,2.49,1.92,2.70,3.33,2.36,,
Total,32.79,23.96,17.97,27.33,20.64,22.69,23.11,30.12,18.52,29.62,,
Calc annual,32.79,23.96,17.97,27.33,20.64,22.69,23.11,30.12,18.52,29.62,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
