"KIMBOLTON (GRANTSFIELD)",,,,,,,,,,,,
Grid ref,SO526603,Long,-2.695557,Lat,52.238837,,,,,,,
Station no,2251,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.34,2.23,0.65,1.77,2.98,3.32,1.55,1.71,3.63,5.35,,
February,2.43,0.67,1.52,2.12,1.55,0.39,2.95,4.28,0.31,3.35,,
March,3.72,1.85,1.31,2.39,2.54,0.96,1.58,1.62,2.31,1.72,,
April,2.35,1.78,2.88,0.34,0.96,2.21,0.30,0.44,3.07,1.74,,
May,3.00,2.61,1.69,2.32,4.39,0.71,1.37,2.32,0.94,1.43,,
June,0.94,1.74,1.49,3.38,5.02,1.54,1.47,3.58,2.21,1.49,,
July,1.50,0.76,2.13,1.51,1.38,3.97,2.04,2.90,1.50,2.15,,
August,3.41,4.69,2.88,4.48,0.41,3.95,3.62,2.95,1.20,5.30,,
September,2.13,2.54,1.94,1.94,0.87,3.01,4.48,8.54,0.25,4.39,,
October,0.72,3.61,1.65,3.30,1.70,2.01,1.35,2.88,2.37,6.84,,
November,6.37,2.38,1.67,6.39,3.11,0.90,2.22,2.65,4.21,4.78,,
December,2.39,2.11,1.48,2.02,2.83,2.40,2.35,3.73,6.66,3.47,,
Total,31.30,26.97,21.29,31.96,27.74,25.37,25.28,37.60,28.66,42.01,,
Calc annual,31.30,26.97,21.29,31.96,27.74,25.37,25.28,37.60,28.66,42.01,,
Difference,0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,0.00,0.00,-0.00,,
