"DUNNING (KIPPER HOUSE)",,,,,,,,,,,,
Grid ref,NO018128,Long,-3.588362,Lat,56.297431,,,,,,,
Station no,5537,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,2.03,,,,,,,,,,
February,,0.39,,,,,,,,,,
March,2.57,2.62,,,,,,,,,,
April,2.86,3.45,,,,,,,,,,
May,1.92,1.56,,,,,,,,,,
June,1.99,3.21,,,,,,,,,,
July,3.14,2.30,,,,,,,,,,
August,5.91,5.08,,,,,,,,,,
September,3.15,1.72,,,,,,,,,,
October,0.59,4.56,,,,,,,,,,
November,9.11,2.24,,,,,,,,,,
December,4.31,3.12,,,,,,,,,,
Total,,32.28,,,,,,,,,,
Calc annual,35.55,32.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
