"OXFORD (BRASENOSE RESERVOIR)",,,,,,,,,,,,
Grid ref,SP557061,Long,-1.194535,Lat,51.750834,,,,,,,
Station no,1050/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,3.51,3.57,2.98,,
February,,,,,,,,2.72,,1.89,,
March,,,,,,,,1.38,3.15,0.92,,
April,,,,,,,,1.15,1.94,0.84,,
May,,,,,,,,1.78,0.78,2.06,,
June,,,,,,,,3.37,1.08,3.02,,
July,,,,,,,,2.79,2.64,4.09,,
August,,,,,,,,3.62,1.10,2.11,,
September,,,,,,,,3.52,0.30,4.26,,
October,,,,,,,,2.54,1.94,5.83,,
November,,,,,,,,3.07,1.84,3.90,,
December,,,,,,,,2.99,5.28,4.03,,
Total,,,,,,,,32.44,23.62,35.93,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.44,23.62,35.93,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
