"ROYSTON (EAST BROOKLANDS)",,,,,,,,,,,,
Grid ref,TL355411,Long,-0.025333,Lat,52.051730,,,,,,,
Station no,982/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,2.26,2.76,2.03,,
February,,,,,,,,2.69,0.08,1.73,,
March,,,,,,,,1.03,2.19,1.33,,
April,,,,,,,,0.97,1.73,0.40,,
May,,,,,,,,2.31,0.47,1.07,,
June,,,,,,,,6.61,0.80,1.80,,
July,,,,,,,,4.34,3.62,2.27,,
August,,,,,,,,2.37,0.80,2.30,,
September,,,,,,,,2.45,0.12,3.87,,
October,,,,,,,,2.35,1.36,4.98,,
November,,,,,,,,2.21,1.66,3.26,,
December,,,,,,,,2.66,3.60,3.07,,
Total,,,,,,,,32.25,19.19,28.11,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.25,19.19,28.11,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
