"BORROWDALE (SEATHWAITE)",,,,,,,,,,,,
Grid ref,NY237119,Long,-3.179576,Lat,54.496664,,,,,,,
Station no,3628/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,11.50,12.25,8.50,10.00,11.50,7.00,17.25,13.50,10.50,15.00,,
February,12.50,4.75,7.00,8.50,3.50,3.00,9.25,14.50,6.50,12.00,,
March,11.75,7.75,3.00,9.25,3.50,5.00,11.00,4.00,8.50,4.00,,
April,7.50,7.75,6.75,3.50,6.75,3.00,4.50,4.50,9.00,9.00,,
May,2.50,6.00,3.75,4.00,8.50,9.25,5.40,9.00,2.00,4.50,,
June,2.25,7.75,4.75,14.50,7.00,4.25,4.75,7.50,5.00,5.00,,
July,11.00,7.75,14.50,13.00,5.50,12.50,11.00,8.75,12.00,13.50,,
August,13.00,17.75,11.00,11.50,4.25,17.50,13.50,9.00,1.00,6.00,,
September,17.00,11.00,25.50,20.50,9.00,6.25,14.00,12.00,2.00,7.00,,
October,2.00,9.50,8.25,26.50,9.00,13.75,19.00,20.00,14.20,5.00,,
November,24.50,5.00,23.00,27.00,4.75,6.25,5.25,3.75,16.00,28.00,,
December,23.50,10.50,8.25,17.00,17.25,19.00,17.00,10.50,28.00,15.00,,
Total,139.00,107.75,124.25,165.25,90.50,106.75,131.90,117.00,114.70,124.00,,
Calc annual,139.00,107.75,124.25,165.25,90.50,106.75,131.90,117.00,114.70,124.00,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
