"LOWER SWINESHAW RESERVOIR",,,,,,,,,,,,
Grid ref,SK004994,Long,-1.995440,Lat,53.491309,,,,,,,
Station no,2936,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.08,4.98,2.31,4.50,3.31,5.51,3.36,4.14,3.93,6.19,,
February,3.50,1.62,3.36,2.94,1.97,1.69,2.90,6.43,0.53,3.22,,
March,5.28,2.77,2.75,2.81,2.25,1.39,4.01,2.55,1.99,1.02,,
April,2.89,4.07,2.58,1.09,2.19,3.18,1.01,1.33,3.30,2.49,,
May,1.96,2.49,2.62,3.87,4.17,1.58,1.30,3.39,1.10,2.02,,
June,1.67,3.32,4.51,3.71,2.94,3.51,2.39,5.38,2.88,1.98,,
July,4.07,4.21,7.43,7.81,1.42,6.89,5.42,5.39,4.12,8.25,,
August,6.03,3.28,5.35,7.56,0.71,11.88,5.97,4.54,0.49,6.33,,
September,2.98,4.60,2.82,5.43,2.52,3.28,8.45,5.10,0.28,3.73,,
October,1.21,4.73,2.05,8.21,2.71,3.40,5.43,3.92,3.64,4.76,,
November,7.92,3.40,4.11,5.44,1.92,2.18,2.62,1.68,4.88,5.59,,
December,6.65,4.19,1.96,6.33,5.41,5.23,5.15,3.54,5.85,4.32,,
Total,49.24,43.66,41.85,59.70,31.52,49.72,48.01,47.39,32.99,49.90,,
Calc annual,49.24,43.66,41.85,59.70,31.52,49.72,48.01,47.39,32.99,49.90,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
