"ST SAVIOUR (PETIT MENAGE)",,,,,,,,,,,,
Grid ref,WV663483,Long,-2.090251,Lat,49.182945,,,,,,,
Station no,4423,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.32,4.79,0.74,3.04,3.66,5.50,2.03,6.17,5.02,3.49,,
February,3.92,1.63,1.67,2.60,3.99,0.47,6.55,4.33,0.11,3.44,,
March,3.71,4.24,0.27,2.95,1.64,0.80,1.74,3.08,1.76,2.52,,
April,2.16,1.61,3.30,1.08,0.30,0.92,0.86,0.67,3.56,1.39,,
May,3.68,1.03,1.45,1.32,2.19,1.08,0.71,2.82,1.80,2.43,,
June,1.38,0.32,1.03,1.89,1.99,1.59,1.08,3.40,0.56,1.62,,
July,1.37,1.16,2.32,2.24,1.33,1.97,1.76,1.21,0.76,3.57,,
August,5.14,3.31,1.54,2.91,0.71,5.56,2.74,3.76,1.62,3.80,,
September,4.48,7.97,2.16,3.87,2.92,1.91,3.06,2.06,0.94,2.72,,
October,1.06,4.84,1.69,2.23,3.38,2.21,1.12,4.55,3.80,5.70,,
November,6.81,5.19,1.91,4.04,1.21,1.36,3.10,3.94,5.02,5.57,,
December,4.25,5.53,1.12,3.19,4.86,4.40,3.31,4.09,7.09,6.64,,
Total,41.28,41.62,19.20,31.36,28.18,27.77,28.06,40.08,32.04,42.89,,
Calc annual,41.28,41.62,19.20,31.36,28.18,27.77,28.06,40.08,32.04,42.89,,
Difference,0.00,0.00,-0.00,-0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,,
