"GOGERDDAN",,,,,,,,,,,,
Grid ref,SN627835,Long,-4.020964,Lat,52.432185,,,,,,,
Station no,4128/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,4.23,2.10,4.65,3.23,3.01,4.54,6.13,,
February,,,,3.19,1.97,0.45,3.19,6.22,1.07,2.92,,
March,,,,2.75,2.67,1.94,5.00,0.86,2.45,1.72,,
April,,,,1.59,2.92,1.05,0.42,1.22,3.61,2.34,,
May,,,,2.55,4.98,1.30,1.65,3.03,0.81,1.67,,
June,,,,4.67,4.50,2.14,2.31,4.74,2.65,2.50,,
July,,,,5.39,0.81,4.75,4.72,5.85,4.24,5.19,,
August,,,,4.49,1.30,7.14,4.46,5.55,1.10,5.22,,
September,,,,4.33,2.89,5.16,7.38,8.42,0.55,6.81,,
October,,,,9.57,3.35,2.12,5.74,4.96,6.62,3.55,,
November,,,,7.17,1.84,2.42,2.12,5.11,5.82,7.04,,
December,,,,5.21,4.06,3.64,2.90,2.79,6.14,5.59,,
Total,,,,55.14,33.39,36.76,43.12,51.76,39.60,50.68,,
Calc annual,0.00,0.00,0.00,55.14,33.39,36.76,43.12,51.76,39.60,50.68,,
Difference,NaN,NaN,NaN,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,,
