"STRATH FARRAR (BROULIN LODGE)",,,,,,,,,,,,
Grid ref,NH233386,Long,-4.942735,Lat,57.403354,,,,,,,
Station no,1392917,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,5.79,6.47,2.43,,,,,,,
February,,,3.82,3.59,4.62,,,,,,,
March,,,2.46,3.87,2.33,,,,,,,
April,,,4.15,3.26,2.10,,,,,,,
May,,,3.68,5.66,2.92,,,,,,,
June,,,1.28,2.36,0.75,,,,,,,
July,,,5.29,2.56,0.11,,,,,,,
August,,,4.44,2.85,0.47,,,,,,,
September,,,4.12,6.37,5.36,,,,,,,
October,,,1.74,9.46,9.52,,,,,,,
November,,,9.09,7.50,3.00,,,,,,,
December,,,5.98,12.66,9.62,,,,,,,
Total,,,51.84,66.61,43.23,,,,,,,
Calc annual,0.00,0.00,51.84,66.61,43.23,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
