"STRACHAN (BRIDGE OF DYE)",,,,,,,,,,,,
Grid ref,NO650857,Long,-2.577166,Lat,56.961202,,,,,,,
Station no,5621/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,1.99,5.59,4.54,5.99,2.85,7.26,,
February,,,,,3.14,1.39,4.72,5.07,0.35,6.48,,
March,,,,,2.24,2.99,3.09,7.14,2.88,2.67,,
April,,,,,0.46,1.77,1.20,2.50,3.84,4.04,,
May,,,,,2.86,0.46,3.54,4.47,2.55,0.98,,
June,,,,,1.56,3.03,2.86,3.27,3.20,2.20,,
July,,,,,0.74,5.70,7.34,8.08,2.84,5.63,,
August,,,,,0.68,7.20,5.97,5.91,0.97,7.17,,
September,,,,,1.80,6.10,2.71,-999.00,0.87,4.80,,
October,,,,5.98,4.69,2.58,1.84,2.42,4.27,13.01,,
November,,,,11.37,3.36,1.96,2.52,0.72,11.72,9.08,,
December,,,,3.95,7.13,8.11,7.37,8.41,11.79,3.67,,
Total,,,,,30.65,46.88,47.70,57.94,48.13,66.99,,
Calc annual,0.00,0.00,0.00,21.30,30.65,46.88,47.70,53.98,48.13,66.99,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,3.96,0.00,0.00,,
