"DEEPING ST NICHOLAS",,,,,,,,,,,,
Grid ref,TF213157,Long,-0.205320,Lat,52.725354,,,,,,,
Station no,2528,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.97,1.64,1.00,1.24,2.34,3.73,0.74,2.05,2.50,3.38,,
February,3.06,0.29,1.48,2.38,2.37,0.83,2.44,3.02,0.16,2.53,,
March,3.21,2.96,0.73,1.86,2.12,0.69,2.12,1.46,1.93,1.50,,
April,2.25,1.37,2.06,0.35,1.20,1.24,0.21,0.75,1.24,0.40,,
May,3.08,2.61,1.71,3.49,2.81,0.94,1.80,2.62,0.70,0.74,,
June,0.80,1.41,2.43,3.17,2.23,1.96,1.91,3.80,0.45,1.93,,
July,0.98,0.29,1.56,2.26,0.45,2.38,3.30,3.70,2.49,2.87,,
August,3.75,2.92,3.07,3.23,0.81,4.19,2.05,3.48,0.70,3.07,,
September,1.47,2.30,0.72,2.49,0.81,1.59,3.86,2.33,0.15,2.55,,
October,0.84,2.56,2.19,2.11,1.35,0.95,1.02,2.37,1.20,4.44,,
November,3.70,2.39,1.87,4.28,1.32,0.44,2.27,1.31,1.51,3.18,,
December,1.29,1.69,0.56,2.12,1.37,1.98,2.08,2.46,3.43,3.12,,
Total,26.40,22.43,19.38,28.98,19.18,20.92,23.80,29.35,16.46,29.71,,
Calc annual,26.40,22.43,19.38,28.98,19.18,20.92,23.80,29.35,16.46,29.71,,
Difference,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,,
