"LARGIE CASTLE",,,,,,,,,,,,
Grid ref,NR699461,Long,-5.659137,Lat,55.653772,,,,,,,
Station no,5416,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.86,6.02,3.08,5.28,3.30,5.35,5.91,5.73,2.49,4.62,,
February,5.13,2.08,2.50,6.29,4.05,1.40,3.46,4.79,1.56,5.40,,
March,3.54,2.92,1.11,4.49,2.02,2.41,3.96,2.00,3.78,3.05,,
April,2.19,1.74,1.99,1.59,3.98,1.09,2.20,1.84,3.44,3.51,,
May,1.75,1.33,2.80,3.89,3.66,2.48,2.65,3.56,1.58,2.72,,
June,2.34,3.64,1.42,4.28,3.04,2.82,1.95,4.73,2.66,1.94,,
July,3.91,3.53,5.50,3.87,1.46,3.72,5.17,3.90,4.90,3.85,,
August,2.72,6.20,3.35,4.18,1.23,5.59,4.12,4.38,1.30,3.36,,
September,2.37,4.22,6.37,6.97,5.53,3.90,3.88,4.57,2.28,3.15,,
October,2.58,5.24,4.32,7.96,5.38,2.78,4.83,4.72,7.34,4.70,,
November,11.42,2.93,7.24,10.59,3.38,2.63,3.01,3.01,7.42,7.23,,
December,8.27,5.33,4.75,6.78,5.67,5.41,7.04,8.35,11.05,7.23,,
Total,52.08,45.18,44.43,66.17,42.70,39.58,48.18,51.58,49.80,50.76,,
Calc annual,52.08,45.18,44.43,66.17,42.70,39.58,48.18,51.58,49.80,50.76,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
